year,place,type
2020,髒亂、噪音、空汙,kcg
2020,道路不平,kcg
2020,道路不平,kcg
2020,積水、汙水管,kcg
2020,動物保護,kcg
2020,積水、汙水管,kcg
2020,道路不平,kcg
2020,髒亂、噪音、空汙,kcg
2019,路燈故障,kcg
2019,道路不平,kcg
2019,交通號誌,kcg
2019,公園、路樹、人行道,kcg
2019,路燈故障,kcg
2019,電力相關,kcg
2019,交通號誌,kcg
2019,交通違規、路霸,kcg
2018,電力相關,kcg
2018,交通號誌,kcg
2018,路燈故障,kcg
2018,交通違規、路霸,kcg
2018,交通號誌,kcg
2018,交通違規、路霸,kcg
2018,路燈故障,kcg
2018,髒亂、噪音、空汙,kcg
2018,道路不平,kcg
2018,道路不平,kcg
2018,路燈故障,kcg
2018,道路不平,kcg
2018,路燈故障,kcg
2018,髒亂、噪音、空汙,kcg
2018,動物保護,kcg
2018,髒亂、噪音、空汙,kcg
2018,路燈故障,kcg
2017,路燈故障,kcg
2017,交通號誌,kcg
2017,髒亂、噪音、空汙,kcg
2017,路燈故障,kcg
2017,公園、路樹、人行道,kcg
2017,道路不平,kcg
2017,交通違規、路霸,kcg
2017,公園、路樹、人行道,kcg
2017,交通違規、路霸,kcg
2017,交通違規、路霸,kcg
2017,髒亂、噪音、空汙,kcg
2017,道路不平,kcg
2017,道路不平,kcg
2017,交通違規、路霸,kcg
2016,髒亂、噪音、空汙,kcg
2016,交通違規、路霸,kcg
2016,交通違規、路霸,kcg
2016,髒亂、噪音、空汙,kcg
2016,髒亂、噪音、空汙,kcg
2016,髒亂、噪音、空汙,kcg
2016,髒亂、噪音、空汙,kcg
2016,髒亂、噪音、空汙,kcg
2016,交通違規、路霸,kcg
2016,交通違規、路霸,kcg
2016,髒亂、噪音、空汙,kcg
2015,髒亂、噪音、空汙,kcg
2015,交通號誌,kcg
2015,道路不平,kcg
2015,公園、路樹、人行道,kcg
2015,道路不平,kcg
2015,髒亂、噪音、空汙,kcg
2015,交通號誌,kcg
2014,積水、汙水管,kcg
2014,髒亂、噪音、空汙,kcg
2014,髒亂、噪音、空汙,kcg
2014,道路不平,kcg
2014,道路不平,kcg
2014,道路不平,kcg
2014,交通違規、路霸,kcg
2014,道路不平,kcg
2014,髒亂、噪音、空汙,kcg
2014,交通號誌,kcg
2014,道路不平,kcg
2014,交通號誌,kcg
2014,動物保護,kcg
2014,路燈故障,kcg
